ACESSO	REP	CB11	CB1	CB23	CB13	CB3	CB9	CB6	CB5	CB20	CB12
pE18	1	46	12	56	55	33	12	-9	12	45	-9
pE9	2	12	12	56	55	33	33	12	12	45	-9
pD14	3	22	12	56	-9	22	12	34	12	35	24
pB6	4	22	12	55	44	22	-9	22	22	35	23
pA8	5	22	12	45	11	22	45	22	12	24	11
pC2	6	22	12	15	44	22	45	22	13	24	-9
pC16	8	12	12	34	44	22	12	-9	12	24	11
pA2	9	12	12	34	33	12	33	33	12	13	11
pB25	10	22	12	44	33	12	33	34	13	13	11
pB3	11	12	12	56	55	33	33	11	11	24	-9
pD8	12	22	12	66	55	22	45	-9	12	34	-9
pE16	14	12	12	45	44	22	33	22	12	24	11
pB1	15	11	12	44	11	22	-9	-9	22	24	11
pC6	16	22	11	33	-9	22	33	11	12	23	11
pE10	17	22	12	33	44	22	33	34	12	13	12
pB29	18	22	12	33	33	22	55	34	13	13	11
pA17	19	34	12	22	-9	22	55	34	14	13	11
pE8	20	56	12	33	23	22	-9	33	13	13	11
